 âba _babalar pederler 
 abd _  kul, köle, hizmetçi.  
 Ashab _  Peygamberimizi (a. s. m. ) gören ve mü'min olarak vefât eden büyük zâtlar · sahipler, sahabeler.  
 Ashâb-ı Nebî _  Peygamberin Sahabeleri.  
 ashab-ı akıl _  akıl sahipleri; akıllı kimseler.  
 ashâb-ı irfan _  tecrübe ve zekâdan ileri gelen zihnî kemâl sahipleri.  
 ashâb-ı kemâlât _  kâmil insanlar; kemâlât sahibi insanlar.  
 âsi _  isyan eden, isyankâr, karşı gelen.  
 âsiyâne _  isyan edercesine.  
 asl-ı hilkat-i arz _  dünyanın yaratılışının aslı, ilk hali.  
 asl-ı hilkat _  yaratılış kökü, yaratılışın ilk hâli, başlangıcı.  
 asl-ı nübüvvet _  peygamberlik kökü, temeli.  
 asl-ı vesvese _  vesvesenin aslı, ilk hâli, evhamla büyütülmemiş şekli.  
 aslâ _  olması imkânsız.  
 asliyet _  asıllık, asıl oluş.  
 asr _  ikindi · devir, asır.  
 Asr-ı Saadet _  mutluluk çağı, Peygamber Efendimizin (a. s m. ) peygamber olarak dünyada bulunduğu devir.  
 asr-ı ahir _  son asır.  
 asr-ı câhiliyet _  Peygamberimizden (a. s. m. ) önceki asır, insanların puta taptığı, küfür ve cehâlet asrı.  
 asr-ı hakikat _  her şeyin gerçeğinin ortaya konulduğu asır.  
 asr-ı hakikatbîn _  gerçeği gören asır.  
 asr-ı hâzır _  şimdiki asır.  
 asr-ı nur _  nur ve nuranî asır.  
 asr-ı Sahabe _  Sahabelerin zamanı.  
 asri _  asırlık, asra âit ve ilgili.  
 âsuman _  gökyüzü, gökkubbe.  
 asvât _  sesler.  
 âşık _  çok aşırı seven, şiddetli muhabbet besleyen.  
 aşiret-i galib _  aşiretin, bir çatışmada galip gelmesi. Galip gelen aşiret.  
 âşikâre _  açık, belli, meydanda.  
 âşire _  onuncu; tasiânın altmışta biri.  
 aşire-i dakika _  bir dakikanın 167 trilyon 961 milyar 600 milyonda biri.  
 aşk-ı bekâ _  sonsuzluk aşkı.  
 aşk-ı ebedi _  sonsuz olan Allah'ın aşkı.  
 aşk-ı kimyevi _  kimyevi bir cazibe ile birleşme.  
 aşk-ı lâhuti _  Cenâb-ı Hakka olan sevgi ve muhabbet.  
 aşk-r mukaddes _  İlâhi ve kudsî sevgi. Aşk-ı İlâhî.  
 aşknâme _  aşk mektubu.  
 aşr-ı mîşâr _  onda birin onda biri; yüzde bir.  
 atâ ender atâ _  lütuf içinde lütuf; bağış içinde bağış.  
 atâlet _  boş durma, tenbellik, işsizlik, yılgınlık.  
 atayâ-yı Rahmâniye _  sonsuz merhamet sahibi Allah'ın bahşiş, lütuf ve ihsanları.  
 ateşpâre _  ateş parçası, ateş gibi.  
 Atûf _  çok acıyan, pek merhametli olan Allah.  
 avâik _  manialar, müşküller.  
 avâlim _  âlemler, cihanlar.  
 avâlim-i uhreviye _  âhiret âlemleri.  
 avâlim-i ulviye _  yüce âlemler. Mâna âlemi; âhiret âlemleri.  
 avâm _  sıradan biri, fakir halk tabakası; okuyup yazması az olan; ilim ve irfânı az, basit yaşayışa sahip kimse.  
 Avâm-ı nâs _  insanların ilmi irfanı kıt, okuma yazması olmayanları.  
 avâm-ı melâike _  meleklerden dereceleri düşük olanlar.  
 âvân _  anlar, zamanlar.  
 avâm-ı Mûslimîn _  Müslümanların avamları.  
 avâm-ı nâs _  insanların ilmi irfanı kıt, okuma yazması olmayanları.  
 âvân-ı tekemmül _  gelişip olgunlaşma anları.  
 avane _  yardımcılar.  
 âvâz-ı hususi _  herkesin kendisine has sesi.  
 âyâ _  "acaba, nasıl oluyor, hayret' gibi mânâlara. gelen şaşkınlık bildiren bir edattır.  
 Ayasofi _  Ayasofya Camii.  
 âyât _  âyetler; işaretler, deliller, tabiatta Allah'ın varlık ve birliğine işaret eden deliller. ' 
 âyât-ı acibe _  Cenâb-ı Allah'ın acip ve garib işlerinin ve. eserlerinin perde arkasındaki hakikati.  
 âyât-ı beyyinât _  ap açık rüyetler, deliller veya işâretler.  
 âyât-ı haşriye _  haşirle ilgili âyetler.  
 âyât-ı İlâhiye _  Allah'ın âyetleri.  
 âyât-ı kâtıa _  Kur'ân'ın kesin âyetleri,  
 âyât-ı katiye _  doğruluğu kesin âyetler, kat'î deliller.  
 âyât-ı kemâl _  mükemmelliğin delilleri.  
 âyât-ı Kur'âniye _  Kur'ân'ın âyetleri.  
 âyât-ı kübrâ _  en büyük âyetler.  
 âyât-ı Rabbâniye _  Rabbanî âyetler.  
 âyât-ı Rubûbiyet _  Allah'ın terbiye edicilik sıfatını anlatan ve onunla ilgili olan âyetler.  
 âyât-ı tekvîniye _  oluşla, yaratılışla ilgili âyetler; varlıklarda görülen deliller.  
 âyet _  Kur'ân'ın her bir cümlesi.  
 âyet-i acibe _  insana hayretveren âyet.  
 âyet-i azime _  büyük ve azametli âyet.  
 âyet-i câmia _  çok mânâları içinde toplayan âyet ve delil.  
 âyet-i kerime _  şerefli âyet, Kur'ân'ın her bir cümlesi.  
 âyet-i Kur'ân _  Kur'ân âyetleri.  
 âyet-i kübrâ _ en büyük âyet.  
 âyet-i pürenvâr _  nurlarla dolu âyet.  
 âyet-i tenzîl _  her bir indirilmiş âyet.  
 Âyete'l-Kürsî _  Allah'ın varlığından ve bir kısım mühim sıfatlarından bahseden Bakara Süresinin 255. âyeti. âyetü'l kübrâ| en büyük âyet, delil.  
 âyine-i cemâl-i ehadiyet _  Allah'ın her bir güzel şeydeki birlik âyinesi, tecellîsi.  
 âyine-i cemâl _  cemâl âyinesi. Güzelliğin görünmesi.  
 âyine-i esmâ _  İlahî isimlerin âyineleri.  
 âyine-i kalb _  kalb aynası.  
 âyine-i mahlukat _  mahlukâtın görüntüsünün ifâde ettiği mânâ.  
 âyine-i mârifet _  mârifet aynası..  
 âyine-i müştak _  istek ve arzu duyan ayna, Cenâb-ı Hakkı görmeye çok arzu duyan ve Onun isimlerinin tecellisine ayna olan insan.  
 âyine-i ruh _  ruh aynası.  
 âyine-i Samed _  Allah'ın Samed isminin tecellî ettiği yer.  
 âyine-i Samedâniye _  Samed aynası, Allah'ın hiçbir şeye muhtaç olmayışı ve her şeyin Ona muhtaç oluşunu gösteren ayna.  
 âyine-i Samediyet _  hiçbir şeye muhtaç olmayan Allah'a her şeyin muhtaç oluş aynası.  
 âyine-i tecellî _  aslın görüntüsünü aksettiren ayna.  
 âyine-misâl _  ayna gibi, aynaya benzer.  
 âyine _  ayna, görüntü.  
 âyinedar _  bir şeyin özelliklerini, sıfatlarını gösteren, ayna olan.  
 ayn _  göz, çeşme · tıpkısı, tâ kendisi  
 ayn-ı adâlet _  adâletin tâ kendisi.  
 ayn-ı adl _  adâletin tâ kendisi.  
 ayn-ı belâhet _  ahmaklığın dikalası.  
 ayn-ı çirkinlik _  çirkinliğin aynısı.  
 ayn-ı edep _  edebin tâ kendisi.  
 ayn-ı hak _  gerçeğin ta kendisi.  
 ayn-ı hakîkat _  hakîkatin tâ kendisi.  
 ayn-ı hikmet _  tamamen faydalı ve gâyeli.  
 ayn-ı ilm _  ilmin tâ kendisi.  
 ayn-ı kudret _  kudretin tâ kendisi.  
 ayn-ı likâ _  gerçek kavuşma.  
 ayn-ı matlûb _  talep edilenin aynısı.  
 ayn-ı. mutlak _  mutlağın ta kendisi, sınırsız olan.  
 ayn-ı rahmet _  rahmetin ta kendisi.  
 ayn-ı şems _  güneşin gözü.  
 ayn-ı şükran _  teşekkürü gerektiren.  
 ayn-ı şükür _  şükrün bir ifâdesi.  
 ayn-ı zâhir _  açıklık içinde; olduğu gibi; olduğu yerde.  
 ayn-ı zâti _  bizzatihi kendisi.  
 aynelyakin _  görür derecede kesin olarak bilme veya bir derecede inanma.  
 aynen _  tıpkı tıpkısına, tamamıyla.  
 ayniyet _  tıpkısı olmak, aynı olmak.  
 ayyaş _  haram içki içen, sarhoş.  
 âzâ _  üye; organ, bedenin her bir uzvu.  
 âzâ-i beden _  vücud organı.  
 âzâ-i esâsi _  temel organlar.  
 âzâ-i İbrâhim _  İbrahim'in (a. s. ) vücut organı.  
 azâb-ı elim _  elem ve ızdırap veren cezalar.  
 âzâd _  serbest bırakma, hürriyetine kavuşturma.  
 âzam _  en büyük.  
 azamet _  büyüklük.  
 azamet-i âsâr _  eserlerin büyüklüğü.  
 azamet-i haşmet-i haysiyet _  şeref ve haysiyetin haşmeti ve·büyüklüğü.  
 azamet-i haşmet _  ihtişamın büyüklüğü.  
 azamet-i ihâta _  kuşatıp içine almanın büyüklüğü.  
 azamet-i İlâhiye _  Allah'ı büyüklüğü.  
 azamet-i kadr _  kıymetin büyüklüğü.  
 azamet-i kibriyâ _  haşmetin büyüklüğü.  
 azamet-i kudret-i İlâhiye _  Allah'ın kudretinin sonsuz büyüklüğü.  
 azamet-i kudret _  kudretin büyüklüğü.  
 azamet-i kudret _  kudretin büyüklüğü.  
 azamet-i mâneviye _  mânevî büyüklük.  
 azamet-i nûrâniyet _  parlaklığın büyüklüğü.  
 azamet-i Rubûbiyet _  Allah'ın terbiye edicilik sıfatının büyüklüğü.  
 aıamet-i saltanat _  sultanlık ve idâre ediciliğin büyüklüğü.  
 azamet-i Sâni _  Yaratıcının büyüklüğü.  
 azamet-i şevket-i Rubûbiyet _  Allah'ın terbiye edicilik sıfatının haşmet ve büyüklüğü.  
 azamet-i Ulûhiyet _  İlâhlığın büyüklüğü.  
 âzami _ en fazla, en çok,.  
 âzamiyet _  en fazla oluş, en fazlalık.  
 azap _  acı, ceza, işkence.  
 azim _  çok büyük, en büyük, en yüce, çok ileri.  
 azîme _  büyük.  
 azîmet _  takva. ile şiddetli kaçınmak, günahlardan uzak durmak.  
 azimüşşan _  şanı yüce, büyük.  
 Azîz _  izzetli, çok izzetli, mânevi kuvvet ve kudret sahibi mağlup edilmesi mümkün olmayan ve dâima galip olan mânâsında Allah'ın bir ismi.  
 azl _  bir şeyi yerinden, güruhundan veya işinden ayırmak; birisini işinden veya makâmından ayırmak.  
 bâ âsam _  günahlarla birlikte.  
 bâvehim _  vehim ve korku ile. Şüphe ile.  
 ba'sû ba'de'l-mevt _  ölümden sonraki diriliş.  
 bâb-ı âlem _  âlem kapısı. İnsanlık kapısı.  
 bâb-ı cûd ve cemâl _  sonsuz güzellik ve cömertlik kapısı.  
 bâb-ı haşmet ve sermediyet _  sonsuzluk ve büyüklük kapısı.  
 bâb- hıfz ve hafiziyet _  her şeyi koruyuculuk ve koruma kapısı.  
 bâb-ı hikmet ve adâlet _  hikmet ve adâlet kapısı.  
 bab-ı ihyâ ve imâte _  diriltme ve öldürme kapısı.  
 bâb-ı insâniyet _  insanlık kapısı.  
 bâb-ı kerem ve rahmet _  şefkat, merhamet ve cömertlik, ikram ve ihsan kapısı.  
 bâb-ı risâlet ve tenzil _  kitap indirme ve peygamberlik kapısı.  
 bâb-ı rubûbiyet ve saltanat _  terbiye edicilik ve sultanlık kapısı.  
 bâb-ı şefkat ve ubûdiyet-i Muhammediye _  Hz. Muhammed'in (a. s. m) kulluğu ve şefkatli kapısı.  
 bâb-ı vaad ve vaid _  vaad ve tehdit kapısı.  
 bâd-ı tecelli _  tecelli rüzgârı; kader.  
 bâdelmemât _  öldükten sonra.  
 bâdiheva _  hevâ ve heves; eğlence, bedâva, boş.  
 bâği _  isteyen; âsî, zâlim, yoldan sapmış isyan etmiş, meşru idâreye başkaldıran.  
 bağistan-ı kerem _  cömertlik bahçesi.  
 bâğistân-ı Cinân _  Cennet bağları.  
 bağistan-ı rahmet _  Cenâb-ı Hakkın merhamet ve şefkatle ihsan ettiği şeyler bulunan bahçe; Cennet bahçesi.  
 bağy _  azgınlık. Zulüm. isyan.  
 bahem _  birlikte, beraber.  
 bâhir _  ap açık, âşikâr.  
 bahis _  konu.  
 bahr _  deniz, büyük âlim.  
 bahr-i belagat _  belagat denizi.  
 bahr-i Furkan _  Kur'ân denizi.  
 bahr-i hakâik _  gerçekler denizi.  
 bahr-i ilm _  ilim denizi.  
 bahri muhit-i havâi _  büyük bir okyanusa benzeyen hava.  
 bahr-i muhit-i Kur'âni _  büyük bir okyanusa benzeyen sonsuz ilim hazinesi olan Kur'an.  
 bahr-i müsebbih _  tesbih eden deniz.  
 bahr-i Tevhid _  tevhid deryası.  
 bahri _  denize âit, denizle ilgili, denize mensup.  
 bahs _  bir şey hakkında etrafıyla söz söyleyip,hakikati araştırmak, söz etmek, konuşulan şey.  
 bahs-i Kur'ân _  Kur'ân'ın bahsi.  
 bahş _  bağış, ihsan, lütuf.  
 baht _  kader, kısmet, talih; alın yazısı, ikbal.  
 bahtiyar _  bahtlı, iyi tâli'li; mesut, mübârek, kutlu.  
 bâhusus _  bilhassa, en çok, özellikle, bu hususla beraber, bununla beraber.  
 baîd _  uzak.  
 Bâis _  "Gönderen, yeniden yaratan" mânâsında Allah'ın bir ismi.  
 bakar _ öküz, dana, sığır.  
 bakarperest _  ineğe tapan.  
 bakiye-i âsâr _ eser ve izlerin geriye kalanı, artıkları.  
 baki _  geride kalan, arta kalan.  
 bâkî _  ebedi, dâimi, sonu gelmez, ölmez, sonsuz, geride kalan, arta kalan.  
 Bâki-i Lâyezâl _  hiç yok olmayan ve ebediyyen var olan Allah.  
 bâlâpervazâne _  yüksekten uçar gibi.  
 bâliğ _  ulaşmış, yetişmiş, olgun yaşına gelmiş, erişmiş, varmış.  
 Bâni-i Zülcemâl _  cemal sahibi binâ edici olan Allah.  
 bûr _  yük.  
 bârekâllâh _  Allah ne mübârek yaratmış; Allah hayırlı ve bereketli kılsın.  
 bârgâh-ı merhamet _  merhametin bârgâhı 
 bârgâh _  izinle girilecek yer, padişah divanhânesi, Allah'ın huzuru, duâ edilen yer.  
 bârgâh-ı huzur _  Allah'ın huzuru, Allah'a duâ edilen yer.  
 barik _ yıldırım, şimşek pırıltısı, Parlaklık.  
 bârid _  soğuk, hoş olmayan.  
 bâridâne _  soğukça, soğuk bir şekilde.  
 bârigâh _  Allah'ın huzuru, dua edilen yer.  
 bârigâh-ı rahmet _  sonsuz merhamet sahibi Allah'ın huzuru.  
 bârika-i beyân _ parlak ifade, tam açıklık.  
 barika-i imân _  imanın parıltıları.  
 Barla _  Bediüzzaman Hazretlerinin sürgün olarak kaldığı, Isparta'ya bağlı bir ilçe.  
 basamak-ı Mirâciye _  Mîrac basamağı.  
 basar _ göz, görme duyusu.  
 Basir _  basîret sahibi olan; "her şeyi. gören manasında" Allah'ın bir ismi.  
 basirâne _  görerek, çok iyi gören bir zâta yakışır şekilde.  
 basire _ görme duygusu, görme kuvveti.  
 basiret _  hakîkati kalbiyle hissedip anlama; ince görüş ve seziş, kalb gözüyle görme.  
 basitâne _  basitçe.  
 bast _ genişlemek açmak yaymak; bir şeye el uzatmâk; sevindirmek; kaplamak, Allah'ın cemal tecellisiyle kalbin, huzur ve sükun için ferahlaması.  
 bast-ı mukaddemat _ asıl maksada girmeden önce bir şeyler söyleme.  
 bâtıl _  gerçek olmayan, hak olmayan.  
 bâtın (batn) _ karın, mide, insanın içi.  
 bâtın-ı kalb _  kalbin. içi.  
 bâtınen _  içinden olarak, içyüzünde, dahilen.  
 Bâtınî _  içe âit, dış görünüşe dair olmayan.  
 batman _  eski bir ağırlık ölçüsü olup, iki okkadan sekiz okkaya kadar yer yer değişir; çoğunlukla altı okkadır.  
 battal _  bâtıl, boş, hükümsüz.  
 Bayezid-i Bistâmi _  Hicrî 188-261 tarihleri arasında yaşamış büyük âlim ve evliyâ bir zattır.  
 bayram-ı Rabbâniye _  Rabbanî bayram.  
 becayiş-i mekân _  mekân, yer değiştirmek.  
 becü _ iste.  
 bedâat _  hayret vericilik, yenilik ve iyiliklerde üstünlük, acib ve garib olma, çekicilik.  
 bedâat-i hârika _  görülmedik derecede yenilik, üstünlük ve aciplik.  
 bedâhet _  açıklık, ispata ihtiyaç duymamak, âşikâr.  
 bedâheten _  ap açık, bir şekilde, birden bire, âniden, ansızın, düşünmeksizin.  
 bedâyi _  hayret verici güzellikte olan şeyler.  
 bedbaht _  kötü, fena; tâli'siz, bahtsız, mutsuz.  
 bedbin _  kötümser, ümitsiz, her şeyin kötü yönünü gören.  
 bedel _  karşılık, yerine.  
 beden-i insan _  insan vücudu.  
 beden-i misâlî _  bedene benzeyen. Bedenin görünmeyen bir misâli.  
 beden-i zîhayat _  canlıların vücudu.  
 bedevi _  göçebe hayatı yaşayan.  
 bedeviyet _  çöl hayatı. Göçebelik.  
 bedî _  eşi benzeri olmayan hayret verici güzellikte olan, hârika.  
 bedia _  nâdide ve güzel, yeni îcad edilmiş şey; beğenilen ve takdir edilen çok yeni şey.  
 bedihi _  ap açık. belli.  
 bedihiyât _  ap açık hususlar.  
 bedir _  dolunay, ayın en parlak hâli.  
 bedr-i münevver _  nurlanmış ay, parlak ay.  
 bedr-i münevver _  nurlanmış ay, parlak ay.  
 begün (bikün) _  "ey! mânâsında kullanılır;  
 bi-kün tevbe _  tevbe et.  
 behimât _  hayvanlar.  
 behimiyât _  hayvansı varlıklar.  
 beis _  zarar, zahmet, zor, fenâ.  
 bekâ _  devam etme, sonsuza kadar var olma.  
 bekââlûd _  bekâ bulaşık, sonsuzluk karışık.  
 bekâ-i ervah _  ruhların ölümsüzlüğü, ebediliği.  
 bekâ-i nevi _  cinslerin, türlerin varlığını sürdürmesi.  
 bekâ-i ruh _  ruhun devamlılığı, sabitliği, ölümsüzlüğü.  
 bekâ-i şahsi _  şahsın ebedî hayatı, sonsuz yaşaması.  
 belâ ender _  belâ içinde.  
 belâgat _  hitap ettiği kimselere göre uygun, tam yerinde, düzgün ve hakîkatli söz söyleme sanatı, hâlin gerektirdiğine uygun söz söylemek.  
 belâgat-ı edâ _  belâgatlı.  
 belâgat-ı harikulade _  hârikulâde belâgat görülmedik derece yüksek ve fevkalâde kıymetli olan belâgat.  
 belâgat-ı Kur'âniye _  Kur'ân'ın belâgatı.  
 belagat-ı hârika _  hârika belâgat.  
 belagat-ı mâneviye _  mânevi belâgat.  
 belâhet _  ahmaklık, düşüncesizlik, ne yaptığını iyi bilememek.  
 belîğane _  beliğ bir şekilde.  
 beliğ _  maksadını tamamen, noksansız ve güzel sözlerle anlatan, hâlin gerektirdiğine ve muhataplara uygun konuşan.  
 beliyyât _  belâlar.  
 beliyye _  belâ, müşkülât, musibet 
 beliyye-i âmme _  yaygın hâle gelmiş günahlar, kötülükler, fenalıklar.  
 bende _  kul.  
 benî âdem _  Âdemoğlu, insanlar 
 benî beşer _  insanoğlu.  
 benî İsrâil _  İsrailoğulları.  
 berendaz _  açık olan, meydanda olan.  
 berâat _  haşmet, metânet; ilim ve şecaatta güzel vasıflarda emsalinden üstünlük; hüsn ve cemalde tam olmak, emsâlinden üstün olmak.  
 Berahime _  Berehmenler, bâtıl ve sapkın Hind ve Mecusi dinindekilerin reisleri.  
 berâhin _  bürhanlar, deliller.  
 berâhin-i akliye-i katiye _  aklî delillerle kesinlik kazanmış olan. Kesinleşmiş aklî deliller.  
 berâhin-i akliye _  akla hoş gelen; aklın tasdik edeceği deliller.  
 berâhin-i haşriye _  haşir bürhanları.  
 berâhin-i katiye _  kesin deliller.  
 berâhin-i lâtife-i akliye _  akla hoş gelen; aklın tasdik edeceği deliller.  
 berâhin-i tevhid _  tevhid bürhanları.  
 berâhin-i uzmâ _  en büyük deliller.  
 berat _  nişan rütbe, imtiyaz ve taltif için verilen kâğıt.  
 berbat _  harab, kötü, bozuk.  
 berd _  soğuk, soğukluk, soğutmak.  
 bereket _  bolluk.  
 berhem zened _  beraber çarpıyor, birlikte çalışıyor.  
 berk _  şimşek 
 berk-i hâtif _  karanlığı delip geçen şimşek.  
 berk-i zâil _  yok olan şimşek, bir anda parlayan ve hemen yok olan şimşek.  
 berkarar _  kararlı, yerleşmiş.  
 berkâsâ _  şimşek gibi.  
 berr _  toprak, yeryüzü, yer.  
 berrak _  nurlu, pek parlak bulanık olmayan, duru, açık, saf.  
 berri _  toprağa âit, kara ile ilgili.  
 bertaraf _  bir tarafa atılan, bir tarafa atılmış, ortadan çıkmış, zâil olmuş.  
 berzah-ı esmâ _  Esma-i İlâhiyenin mevcudat ve kâinat ötesindeki hâli. Allah'ın isimlerinin "Kab-ı Kavseyn" makâmından görünüşü.  
 berzah _ ölenlerin, Kıyâmete kadar bulundukları âlem; kabir âlemi; ruhların ve ruhânilerin bulunduğu âlem.  
 bes _  yeter, yeterli.  
 besâtet _ basitlik, sâdelik, karmaşık olmama hâli.  
 besâtin-i dâime _  dâimi bostanlar ve bahçeler.  
 besmele _ Bismillâhirrahmânirrahîmin kısaltılmış ismi.  
 beşârât _  beşâretler, müjdeler, hayırlı ve sevinçli haberler.  
 beşaret _ müjde, sevindirici haber.  
 beşer _  insanlar, insanoğlu.  
 beşeriyet _  insanlık.  
 bevl _  sidik, idrar.  
 beyân _  açıklama; izah; anlatma.  
 beyân-ı. ifhâmiye _  delille isbatlamanın açıklaması.  
 beyân-ı Kur'ân _  Kur'ân'ın âçıklaması.  
 beyanat-ı âyât-ı Kur'aniye _  Kur'ân âyetlerinin açıklamaları, beyanları, mesajları.  
 beyânât _  açıklamalar, beyanlar.  
 beyanât-ı kevniye _  yaratılışa âit âçıklamalar.  
 beyannâme _  yazılı açıklama, bildiri.  
 beyder _  harman yeri.  
 beyhude _  boşuna, boş yere, faydasız.  
 beyn _ ara, arası, arasında, aralık.  
 beynennas _ insanlar arasında.  
 bîbehre _  nasipsiz, mahrum.  
 bîçare _ çaresiz, zavallı.  
 bîfasal _ yekpâre, eklemsiz, pârçasız.  
 bîhemta _  eşsiz, dengi olmayan, benzersiz.  
 bîhicap _  çekinmeden, gizlemeden.  
 bîhuş _ akılsız, bunak, sersem.  
 bîiştibah _  şüphesiz.  
 bîkarar _  kararsız.  
 bînâz _  naz etmeden, nazlanmadan.  
 bînisyan _  unutkanlığa düşmeden.  
 bîtaraf _  tarafsız.  
